name;intro;url;date;mark
叶问4：完结篇 / 葉問4;2019-12-20(中国大陆) / 甄子丹 / 吴樾 / 吴建豪 / 斯科特·阿金斯 / 李宛妲 / 郑则仕 / 陈国坤 / 敖嘉年 / 高战 / 叶禾 / 熊黛林 / 吴千语 / 中国香港 / 叶伟信 / 107分钟 / 叶问4：完结篇 / 剧情 / 动作 / 黄子桓 Edmond Wong / 深泽寛 / 陈大利 Tai-lee Chan / 梁礼彦 Jill Leung Lai-yin / 粤语 / 英语;https://movie.douban.com/subject/26885074/;2020-01-05;0
暗杀 / 암살;2015-07-22(韩国) / 2015-09-17(中国大陆) / 全智贤 / 李政宰 / 河正宇 / 吴达洙 / 赵震雄 / 李璟荣 / 崔德门 / 金义城 / 朴秉恩 / 陈庆 / 金海淑 / 曹承佑 / 河知元 / 洪成德 / 沈熙燮 / 金正碧 / 禹尚全 / 郑基燮 / 金仁宇 / 金艺恩 / 郑灿菲 / 元贤俊 / 李言廷 / 金泰俊 / 许政度 / 汤甄 / 金弘波 / 郑仁谦 / 李焕 / 韩国 / assassination.kr / 崔东勋 / 139分钟 / 暗杀 / 剧情 / 动作 / 历史 / 犯罪 / 崔东勋 Dong-hun Choi / 李基哲 Gi-cheol Lee / 韩语 / 英语 / 日语 / 粤语 / 汉语普通话 / 法语 / 韩国手语;https://movie.douban.com/subject/25823132/;2019-12-24;0
大开眼戒 / Eyes Wide Shut;1999-07-16(美国) / 1999-09-10(英国) / 汤姆·克鲁斯 / 妮可·基德曼 / 麦迪逊·埃金顿 / 杰基·萨维里斯 / 西德尼·波拉克 / 莱斯利·洛韦 / 托德·菲尔德 / 迈克尔·多文 / 斯凯·杜·蒙特 / 兰德尔·保罗 / 朱利安·戴维斯 / 玛丽·理查德森 / 托马斯·吉布森 / 凡妮莎·肖 / 拉德·舍博德兹加 / 伊川东吾 / 莉莉·索博斯基 / 山姆·道格拉斯 / 安格斯·麦金尼斯 / 斯坦利·库布里克 / 艾伦·卡明 / 克里斯蒂安妮·库布里克 / 利昂·维塔利 / 费伊·马斯特森 / 皮特·本森 / Lee Henshaw / 特雷瓦·埃迪内 / 布莱恩·W·库克 / Cindy Dolenc / 库尔特·莱特纳 / Matt Gourley / Donna Ewin / Kate Charman / Stewart Thorndike / 凯特·布兰切特 / 英国 / 美国 / 斯坦利·库布里克 / 159 分钟 / 大开眼戒 / 剧情 / 悬疑 / 惊悚 / 情色 / Stanley Kubrick / Frederic Raphael / 英语;https://movie.douban.com/subject/1300275/;2019-12-23;4
忠奸人 / Donnie Brasco;1997-02-28 / 阿尔·帕西诺 / 约翰尼·德普 / 迈克尔·马德森 / 布鲁诺·柯比 / 詹姆斯·拉索 / 安·海切 / 保罗·吉亚玛提 / 罗科·西斯托 / 扎克·格雷尼尔 / 蒂姆·布雷克·尼尔森 / 罗伯特·米亚诺 / 泰瑞·塞尔皮科 / 格瑞辰·摩尔 / 瓦尔·埃弗里 / 布赖恩·塔伦蒂诺 / 泽利科·伊万内克 / Dan Brennan / Laura Cahill / Walt MacPherson / 美国 / 迈克·内威尔 / 127 分钟 / 147 分钟(extended cut) / 忠奸人 / 犯罪 / 剧情 / 惊悚 / 保罗·阿塔那斯奥 Paul Attanasio / 英语;https://movie.douban.com/subject/1293731/;2019-12-16;5
误杀;2019-12-07(大规模点映) / 2019-12-13(中国大陆) / 肖央 / 谭卓 / 陈冲 / 姜皓文 / 秦沛 / 边天扬 / 许文姗 / 张熙然 / 施名帅 / 黄健玮 / 谷洋 / 中国大陆 / 柯汶利 / 112分钟 / 剧情 / 犯罪 / 悬疑 / 杨薇薇 Weiwei Yang / 翟培 / 李鹏 / 范凯华 / 秦语谦 / 雷声 Sheng Lei / 汉语普通话;https://movie.douban.com/subject/30176393/;2019-12-14;3
美国往事 / Once Upon a Time in America;1984-02-17(波士顿首映) / 1984-09-28(意大利) / 罗伯特·德尼罗 / 詹姆斯·伍兹 / 伊丽莎白·麦戈文 / 乔·佩西 / 波特·杨 / 塔斯黛·韦尔德 / 特里特·威廉斯 / 丹尼·爱罗 / 理查德·布赖特 / 詹姆斯·海登 / 威廉·弗西斯 / 达兰妮·弗鲁格 / 拉里·拉普 / 理查德·弗让吉 / 罗伯特·哈珀 / 詹妮弗·康纳利 / 赛尔乔·莱昂内 / 斯科特·提勒 / 詹姆斯·拉索 / 布莱恩·布鲁姆 / 鲁斯蒂·雅各布斯 / 奥丽娃·维拉索布罗斯 / 玛西娅·让·库尔茨 / 阿诺恩·米尔坎 / 马里奥·布雷加 / 保罗·赫尔曼 / 迈克·莫内蒂 / 艾米·莱德 / 阿德里安·柯兰 / 朱莉·科恩 / 诺亚·莫扎兹 / 美国 / 意大利 / www.onceuponatimeinamerica.net / 赛尔乔·莱昂内 / 229分钟(导演剪辑版) / 251分钟(导演剪辑加长版) / 美国往事 / 犯罪 / 剧情 / 皮耶罗·德·伯纳迪 Piero De Bernardi / 列奥那多·本韦努蒂 Leonardo Benvenuti / 弗兰科·奥卡利 Franco Arcalli / 恩里科·梅迪欧力 Enrico Medioli / 弗兰科·费里尼 Franco Ferrini / 赛尔乔·莱翁内 Sergio Leone / 英语 / 法语 / 意大利语;https://movie.douban.com/subject/1292262/;2019-12-11;4
恐惧拉斯维加斯 / Fear and Loathing in Las Vegas;1998-05-22 / 约翰尼·德普 / 本尼西奥·德尔·托罗 / 托比·马奎尔 / 拉里·塞达尔 / 凯瑟琳·海蒙德 / Michael Warwick / 克雷格·比尔克 / 马克·哈蒙 / 蒂姆·汤默逊 / 理查德·里尔 / 拉瑞恩·纽曼 / 理查德·波特诺 / 黛比·雷诺斯 / 史蒂夫·斯基里帕 / 威勒·特耶 / 佩恩·吉列特 / 卡梅隆·迪亚兹 / 莱尔·洛维特 / 弗利 / 格里高利·伊齐恩 / 加里·布塞 / 特洛伊·伊万斯 / 克里斯托弗·米洛尼 / 克里斯蒂娜·里奇 / 拉里·布兰登伯格 / 迈克尔·杰特 / 哈利·戴恩·斯坦通 / 詹妮特·戈德斯坦恩 / 斯蒂芬·布吉格沃特 / Mary Gillis / 珍妮佛·艾莉丝·考克斯 / 艾伦·巴金 / 大卫·布里斯宾 / James O'Sullivan / Milt Tarver / 金·馥拉蕊 / Tane McClure / Karen Price / Lisa Hoyle / 雷·库珀 / Matthew Hurley / Khris Kaneff / Paul Kantner / Brian D. Kline / 亨特·S·汤普森 / 美国 / 特瑞·吉列姆 / 118 分钟 / 恐惧拉斯维加斯 / 剧情 / 奇幻 / 亨特·S·汤普森 Hunter S. Thompson / 特瑞·吉列姆 Terry Gilliam / 托尼·格里索尼 Tony Grisoni / Tod Davies / 亚力克斯·考克斯 Alex Cox / 英语;https://movie.douban.com/subject/1295576/;2019-12-10;4
南方车站的聚会;2019-05-18(戛纳电影节) / 2019-12-06(中国大陆) / 胡歌 / 桂纶镁 / 廖凡 / 万茜 / 奇道 / 黄觉 / 曾美慧孜 / 张奕聪 / 陈永忠 / 李志鹏 / 刘畅 / 常嘉豪 / 常嘉壮 / 陈子杰 / 邱文洋 / 汤青松 / 付小仙 / 中国大陆 / 法国 / 刁亦男 / 113分钟 / 剧情 / 犯罪 / 刁亦男 Yi'nan Diao / 武汉方言;https://movie.douban.com/subject/27668250/;2019-12-07;0
出租车司机 / Taxi Driver;1976-02-08(美国) / 罗伯特·德尼罗 / 朱迪·福斯特 / 斯碧尔·谢波德 / 艾伯特·布鲁克斯 / 哈威·凯特尔 / 戴安娜·阿伯特 / 维克多·阿尔果 / 吉诺·阿迪托 / 彼得·博伊尔 / 布伦达·迪克森 / 马丁·斯科塞斯 / 玛丽-帕特·格林 / 美国 / 马丁·斯科塞斯 / 113分钟 / 出租车司机 / 剧情 / 犯罪 / 保罗·施拉德 Paul Schrader / 英语 / 西班牙语;https://movie.douban.com/subject/1292222/;2019-12-06;4
好家伙 / Goodfellas;1990-09-09(威尼斯电影节) / 1990-09-19(美国) / 罗伯特·德尼罗 / 雷·利奥塔 / 乔·佩西 / 洛南·布雷科 / 保罗·索维诺 / 弗兰克·西维罗 / 托尼·戴劳 / 迈克·斯塔尔 / 弗兰克·文森特 / 查克·洛 / 弗兰克·迪莱奥 / 亨利·扬曼 / 吉娜·马斯特罗吉科莫 / 凯瑟琳·斯科塞斯 / 查尔斯·斯科西斯 / 苏珊妮·谢泼德 / 黛比·玛扎 / 塞缪尔·杰克逊 / 迈克尔·因佩里奥利 / 文森特·加洛 / 博斯塔尔 / 弗兰克·德拉邦特 / 艾伦·休斯 / 理查德·林克莱特 / 乔·卡纳汉 / 艾尔伯特·休斯 / 安东尼·福奎阿 / 维克托·科利采奇奥 / 托宾·贝尔 / 美国 / 马丁·斯科塞斯 / 146分钟 / 好家伙 / 剧情 / 传记 / 犯罪 / 马丁·斯科塞斯 Martin Scorsese / 尼古拉斯·派勒吉 Nicholas Pileggi / 英语 / 意大利语;https://movie.douban.com/subject/1292268/;2019-12-04;4
